iso3c;region_id;country_name;income_id;gdp;composition_food_organic_waste_percent;composition_glass_percent;composition_metal_percent;composition_other_percent;composition_paper_cardboard_percent;composition_plastic_percent;population_population_number_of_people;total_msw_total_msw_generated_tons_year
ARE;MEA;United Arab Emirates;HIC;67119,13281;39;4;3;10;25;19;9770529;5617682
AUS;EAS;Australia;HIC;47784,17969;48,44;3,81;19,38;3,46;17,3;7,61;23789338;13345000
AUT;ECS;Austria;HIC;56029,61328;31,4;7;4,4;18,5;19,7;11,1;8877067;5219715
BEL;ECS;Belgium;HIC;51914,91406;14,18;3,1;1,91;40,14;18,38;13,94;11484055;4765883
BGR;ECS;Bulgaria;UMC;22279,36133;24,35;5,83;1,98;17,93;14,18;12,15;7025037;2859190
BOL;LCN;Bolivia;LMC;7984,413574;55,1969112;2,903474903;2,501930502;22,7027027;6,501930502;10,19305019;10724705;2219052
BRA;LCN;Brazil;UMC;14596,24609;51,4;2,4;2,9;16,7;13,1;13,5;208494896;79069584
CAN;NAC;Canada;HIC;47672,07813;24;6;13;8;47;3;35544564;25103034
CHE;ECS;Switzerland;HIC;68394,28906;29;4;3;29;20;15;8574832;6079556
CHN;EAS;China;UMC;16092,30078;61,2;2,1;1,1;13,1;9,6;9,8;1400050048;395081376
CZE;ECS;Czech Republic;HIC;40836,32813;62,3;2,4;8,4;14,9;9,1;2,2;10669709;5334854
DEU;ECS;Germany;HIC;53784,78125;30;10;1,4;17,7;24;13;83132800;50627876
DNK;ECS;Denmark;HIC;57821,19922;12,78;5,78;6,29;23,86;11,57;1,61;5818553;4910858
DZA;MEA;Algeria;UMC;11826,16504;54,4;1,2;2,8;0,8;9,8;16,9;40606052;12378740
EGY;MEA;Egypt, Arab Rep,;LMC;10301,10742;56;4;2;15;10;13;87813256;21000000
ESP;ECS;Spain;HIC;40985,55859;49;8;3;14;15;9;47076780;22408548
FIN;ECS;Finland;HIC;48814,30859;35,88;9,24;1,7;13,13;37,83;1,45;5520314;3124497
FRA;ECS;France;HIC;46110,18359;32;10;3;26;20;9;67059888;36748820
GBR;ECS;United Kingdom;HIC;46290,12109;16,7;2,2;3,5;28,2;18,9;20,2;66460344;30771140
GRC;ECS;Greece;HIC;30465,44922;40;3;3;9;29;14;10716322;5615352
IDN;EAS;Indonesia;LMC;10531,19824;53,8;2,5;1,8;12,9;14,9;14;261115456;65200000
IRL;ECS;Ireland;HIC;83388,71875;16,6;8,5;3,7;25,8;25;12,4;4867316;2910655
ITA;ECS;Italy;HIC;42419,72266;34,4;7,6;4,3;15,4;22,8;11,6;60297396;30088400
LUX;ECS;Luxembourg;HIC;114323,4063;30;4;2;27;19;18;619896;490337
NLD;ECS;Netherlands;HIC;56849,375;35;5,4;4,3;20,24;21;14;17332850;8805088
NOR;ECS;Norway;HIC;64962,26172;15,49;4,6;6,12;13,15;26,57;2,25;5347896;4149967
POL;ECS;Poland;HIC;33221,54297;37,27;10,07;2,17;26,69;11,27;12,13;37970872;12758213
PRT;ECS;Portugal;HIC;34961,94531;36,49;6,73;1,85;27,68;13,64;10,72;10269417;5268211
QAT;MEA;Qatar;HIC;96261,66406;57;4;9;5;11;14;2109568;1000990
RUS;ECS;Russian Federation;UMC;26012,84961;28,41;16,82;1,83;19,03;19,7;14,21;143201680;60000000
SRB;ECS;Serbia;UMC;18351,27344;37,62;5,44;1,38;16,72;13,57;12,73;6944975;2347401
SVK;ECS;Slovak Republic;HIC;31965,76172;42;19;2;1;25;11;5454073;2296164
THA;EAS;Thailand;UMC;16301,53809;65,52;3,04;1,85;4,74;7,6;17,59;68657600;26853366
TUN;MEA;Tunisia;LMC;10505,2627;68;2;4;5;10;11;11143908;2700000
TUR;ECS;Turkey;UMC;28289,08789;64;2;1;24;6;3;83429616;35374156
UKR;ECS;Ukraine;LMC;11534,6377;37;5;4;22;25;7;45004644;15242025
URY;LCN;Uruguay;HIC;20588,39258;53,5;3;5;7,5;20;11;3431552;1260139
USA;NAC;United States;HIC;61498,37109;14,9;4,4;9;3,2;26,6;12,9;326687488;265224528
